d_sample,gauss_sigma,stack,cell,n_steps,n_lstm_layers,n_lstm_units_1,n_lstm_units_2,activation_output_layer,n_epochs,optimizer,lr,metric,num_repeat,d_t,theory_model,loss_funcs,lambda_mse,lambda_soc,feature_indices,feature_range_cur_low,feature_range_cur_high,feature_range_charge_low,feature_range_charge_high,feature_range_volt_low,feature_range_volt_high,boundary_cur_low,boundary_cur_high,boundary_charge_low,boundary_charge_high,boundary_voltage_low,boundary_voltage_high,seed,experiment_name,method,input_features,model_save_path,results_path,n_features,use_case_1_rmse,use_case_1_mae,use_case_2_rmse,use_case_2_mae,use_case_3_rmse,use_case_3_mae,avg_rmse,avg_mae,results_folder
2,10,0,4,100,2,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.01,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509191906/model,../../../models/experiments/loss_params_config/20240509191906/results,2,22.85944516288431,22.322147001902273,23.742174557023063,21.184865000324884,14.794740034409044,12.369218711853094,20.465453251438806,18.62541023802675,../models/experiments/loss_params_config/20240509191906
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.01,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509070152/model,../../../models/experiments/loss_params_config/20240509070152/results,2,3.9610705188172033,3.138979450225806,13.509527133615991,11.63511105814285,43.047096736671,42.46612688779832,20.172564796368064,19.08007246538899,../models/experiments/loss_params_config/20240509070152
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509201713/model,../../../models/experiments/loss_params_config/20240509201713/results,2,20.648760937894647,20.265504469553644,15.838409284425238,13.870627160226169,7.73217750403883,6.767925362587017,14.739782575452905,13.634685664122275,../models/experiments/loss_params_config/20240509201713
2,10,0,4,100,1,20,20,tanh,10,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,100.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509161450/model,../../../models/experiments/loss_params_config/20240509161450/results,3,12.584991473862836,12.021528897603364,4.732209242631779,3.625238042031584,10.104228329543066,8.025524418354024,9.140476348679227,7.890763785996324,../models/experiments/loss_params_config/20240509161450
2,10,0,4,100,2,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,2,loss_params_config,loss,"['current', 'charge', 'init_vol', 'ocv']",../../../models/experiments/loss_params_config/20240509080415/model,../../../models/experiments/loss_params_config/20240509080415/results,4,5.9211402580713575,4.700280166625962,13.89224290694851,13.393278725531788,32.826570023240315,31.60343310117722,17.546651062753394,16.565663997778326,../models/experiments/loss_params_config/20240509080415
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,4,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509205218/model,../../../models/experiments/loss_params_config/20240509205218/results,2,22.758989604994433,22.438568860371923,13.883762095645718,12.108874031189968,20.664720567486388,13.31448377132431,19.102490756042176,15.953975554295402,../models/experiments/loss_params_config/20240509205218
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,1.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,"['current', 'charge']",../../../models/experiments/loss_params_config/20240509022657/model,../../../models/experiments/loss_params_config/20240509022657/results,2,22.471785286412413,22.12319464492799,18.865864717667694,16.80099748057706,8.612194958938362,8.022637577056887,16.649948321006153,15.648943234187314,../models/experiments/loss_params_config/20240509022657
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509140402/model,../../../models/experiments/loss_params_config/20240509140402/results,3,18.564128632981223,18.28840695826214,14.134265219468258,13.146095032845786,15.93065191475829,14.991023002862939,16.20968192240259,15.475174997990289,../models/experiments/loss_params_config/20240509140402
2,10,0,4,100,1,20,20,tanh,50,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,0.1,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,3,loss_params_config,loss,['current'],../../../models/experiments/loss_params_config/20240509134207/model,../../../models/experiments/loss_params_config/20240509134207/results,1,24.451413854221105,23.335278620402033,29.531077223265775,26.18726325804191,22.90156303686326,19.600804324150133,25.62801803811671,23.041115400864694,../models/experiments/loss_params_config/20240509134207
2,10,0,4,100,2,20,20,tanh,20,Adam,0.001,mae,1,0.25,2228,"['mse', 'soc']",1,10.0,"{'current': 0, 'charge': 1, 'init_vol': 2, 'ocv': 3, 'theory': 4, 'residual': 5}",-1,1,-1,1,-1,1,-10,10,-33.2,33.2,3.304,3.982,1,loss_params_config,loss,"['current', 'charge', 'init_vol']",../../../models/experiments/loss_params_config/20240509032244/model,../../../models/experiments/loss_params_config/20240509032244/results,3,16.695252780923457,16.42370870717368,11.328309388668282,10.291882430661138,12.50224846507346,11.35204708456994,13.508603544888402,12.689212740801587,../models/experiments/loss_params_config/20240509032244
